Character Name;ID;Model Name;Major Location;Major Store;BIO                              |
 Takeshi Sera ; SERA ; TUW_L ; Dobuita ; Asia Travel Company (Male) ;;
 Takichi Yamada ;; NVS_S ;;;;
 Takuya Maruyama ; MYTY ; YAE_L ;;;;
 Tao Duo Ji ; UNO_ ; CHU_L ; Dobuita ; Ajiichi Chinese Restaurant ;;
 Tao Lin Xia ; RNKT ; FUW_L ;;;;
 Tatsuhito Yamaoka ; YAMO ; YMO_L ;;;;
 Tatsuki Mitsumine ;; CVM_S ;;;;
 Tatsuya Honda ;; BTI_L ;;;;
 Tatsuya Yamamoto ; TTYA ; TTY_L ; Sakuragaoka ; Near the Capsule Toy Machines ;;
 Terry Ryan ; TERY ; ACS_M ; Cutscene ; Mad Angels ;;
 Teruhiko Saijo ; SAJO ; BAU_L ; Dobuita ; Bar Yokosuka ; [Teruhiko Saijo ](http://shenmue.neoseeker.com/wiki/Teruhiko_Saijo) ;
 Terumasa Moriya ;; CVK_S ;;;;
 Tetsu Shimizu ;; CVF_S ;;;;
 Tetsuya Nagashima ; NGSM ; YAB_L ;;;;
 Toki Aida ; TOKI ; TKI_L ; Dobuita ; Aida Florist ;;
 Tokumasa Kogo ; KEBE ; KVE_L ; Harbor ;;;
 Tomi Maruyama ; TMMR ; MYT_L ; Harbor ; Cafeteria ;;
 Tom Johnson ; TOM_ ; AME_L ; Dobuita ; Tom's Hot Dogs Truck ;;
 Tomoaki Tange ; GRYU ; BTA_L ;;;;
 Tomohito Niizato ; TMHN ; KWA_L ; Harbor ;;;
 Tomo Uemoto ; FLDE ; FLN_L ; Harbor ;;;
 Tony Abrams ; TONY ; GIJ_M ; Cutscenes ;;;
 Toshihito Takii ;; BTP_L ;;;;
 Toshiki Kagawa ; TOSK ; TOS_L ; Dobuita ; Nagai Industries ;;
 Toshimichi Fukui ; TOMH ; SGP_L ; Harbor ;;;
 Tota Yoshino ; TTAY ; TPR_L ; Dobuita ; Nagai Industries ;;
 Toya Hasegawa ; TYHG ; YKZ_L ; Dobuita ; Nagai Industries ;;
 Tsukasa Ishigaki ;; NBI_S ;;;;
 Tsukasa Takagi ; TKSA ; SGK_L ; Harbor ;;;
 Tsuyoshi Murakami ; TYMK ; RFA_L ; Harbor ; Forklift Worker ;;
 Tsuyoshi Seino ;; BTD_L ;;;;
 Tsuyoshi Takashima ; YOPA ; YOP_L ;;;;
 Wang Guang Ji ; YKHI ; KHI_L ; Dobuita ; Ajiichi Chinese Restaurant/Near the vending machine ; [Wang Guang Ji ](http://shenmue.neoseeker.com/wiki/Guangji_Wang) ;
 Wataru Koga ; KOGA ; SGE_L ; Harbor ;;;
 Wilson Bonett ; GJBM ; HJB_L ; Dobuita ; MJQ Jazz Bar (Sailor) ;;
 Wu Li Xian ; GRKN ; SSI_L ; Dobuita ; Bar Yokosuka (Customer) ;;
 Xia Xiu Yu ; ASDA ; KAS_L ; Dobuita ; Russiya China Shop ;;
 Xie Gao Wen ; KKBN ; KOM_L ;;; [Xie Gao Wen ](http://shenmue.neoseeker.com/wiki/Gaowen_Xia) ;
 Yasuo Ito ; YASU ; YSO_L ;;;;
 Yasuo Kusano ; FLDA ; FLJ_L ; Harbor ;;;
 Yasuomi Kujirai ; FLD6 ; FLF_L ; Harbor ; Forklift Worker ;;
 Yasushi Shima ;; BTE_L ;;;;
 Yasutomo Miyagi ; KEBB ; KVB_L ; Harbor ;;;
 Yayoi Arisugawa ; YAYI ; YYI_L ; Harbor ;;;
 Yohei Kondo ; YOHI ; YHI_L ; Dobuita ; Tomato Convenience Store ;;
 Yohei Sakamoto ; SKMT ; SMT_L ; Sakuragaoka ; Construction Site ;;
 Yoko Minato ; YOKO ; HOB_L ; Dobuita ; Bar Yokosuka ; [Yoko Minato](http://shenmue.neoseeker.com/wiki/Yoko_Minato) ;
 Yong Zhu Yan ; ECHO ; QHB_L ; Dobuita ; Bar Yokosuka (Customer) ;;
 Yoshie Aoi ; YOSE ; BWW_L ; Dobuita ; Yaokatsu Produce ;;
 Yoshifumi Hato ; HATO ; BAT_L ; Dobuita ; Bar Heartbeats ;;
 Yoshiharu Hanaoka ; HANA ; SVA_L ; Harbor ;;;
 Yoshihide Hatanaka ; HTNK ; KAZ_L ;;;;
 Yoshihiko Tashiro ; YOSI ; SGJ_L ; Harbor ;;;
 Yoshihiro Horiuchi ;; NBJ_S ;;;;
 Yoshihiro Oguchi ;; NVO_S ;;;;
 Yoshihito Nishii ; NSMR ; X72_L ;;;;
 Yoshikazu Takahashi ; YSKT ; OYC_L ;;;;
 Yoshinori Kondo ;; CVN_S ;;;;
 Yoshio Ishikawa ;; CVX_S ;;;;
 Yoshio Yamada ; YSHY ; FLI_L ; Harbor ;;;
 Yoshio Yamagata ; KEBC ; KVC_L ; Harbor ;;;
 Yoshiyuki Tokuchi ;; BTG_L ;;;;
 Yosuke Yamaguchi ; YMGC ; SGD_L ; Harbor ;;;
 Yuichi Tsuge ;; BTJ_L ;;;;
 Yuji Hirano ; YJIH ; RFC_L ;;;;
 Yuji Nito ; NITO ; GAT_L ; Dobuita ; YOU Arcade ;;
 Yuka Komine ; YUKK ; X61_L ;;;;
 Yuka Mashita ; MSTA ; JMG_L ; Harbor ;;;
 Yukiko Irie ; IRIE ; JMB_L ; Harbor ;;;
 Yukio Satake ; STAK ; TOF_L ;;;;
 Yukito Tomonari ;; BTB_L ;;;;
 Yumiko Minamino ; NMNO ; SHX_L ; Dobuita ; Schoolgirl thug near the road to Sakuragaoka ;;
 Yumi Morino ; YUMM ; HSA_L ;;;;
 Yuriko Kikuchi ; YURI ; FRB_L ; Dobuita ;;;
 Yutaka Koizumi ;; NBN_S ; 70 Man Battle ; Mad Angels ; [Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels) ;
